recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
alice chicken,1.0340361547019374,1.0723805294763609,0.7118052168020874,0.9071475440448851,0.49280538030458115,0.32608792270388265,0.15491933384829668,0.9674709297958259,0.7968190728895957,0.3641428291206625,0.31622776601683794,0.6913754406977441,0.4714045207910317,0.0,1.0954451150103321,0.7071067811865476,0.3674234614174767,0.25495097567963926
almond crusted tilapia,0.5870395085642742,0.7071067811865476,0.7047458170621991,0.4962358310319802,0.5256288750494157,0.17320508075688773,0.27568097504180444,0.96850400102426,0.1781741612749496,0.7653757247260982,0.9128709291752769,0.5907622195096771,0.408248290463863,0.0,0.7071067811865476,0.7071067811865476,0.5,0.4242640687119285
aloo phujia,0.46575001548371087,0.31622776601683794,0.0,0.4970747764002246,0.44944410108488464,0.29268868558020256,0.4,0.2569046515733026,0.3563483225498992,0.3781534080237808,0.752772652709081,0.17320508075688773,0.23570226039551584,0.0,0.31622776601683794,0.0,0.3082207001484488,0.2958039891549808
alysias basic meat lasagna,0.6950373537277857,0.8366600265340756,0.6582805886043833,0.6268306523030496,0.34351128074635334,0.3444802848737017,0.35213633723318016,0.8497058314499201,0.563436169819011,0.498998997994986,0.5,0.7443117626371357,0.4714045207910317,0.0,0.7071067811865476,0.0,0.3391164991562634,0.406201920231798
amatriciana,0.33968311024337877,0.31622776601683794,0.2,0.5408326913195983,0.45450129655637783,0.570379990298865,0.5019960159204453,0.6557438524302001,0.6172133998483675,0.2986636904613616,0.5477225575051661,0.35777087639996635,0.5773502691896257,0.0,0.7071067811865476,0.0,0.458257569495584,0.7745966692414834
amazing chicken,0.6528046002854501,0.4472135954999579,0.5099019513592785,0.6692657668420421,0.24260491103261467,0.36923344016127974,0.282842712474619,0.8099382692526634,0.25197631533948484,0.13711309200802088,0.0,0.3065941943351178,0.4714045207910317,0.0,0.8944271909999159,0.7071067811865476,0.23979157616563598,0.11180339887498948
amazing italian lemon butter chicken,0.8311252798280357,1.118033988749895,0.7187952884282609,0.5244044240850758,0.33423687066852115,0.3530816713830763,0.340587727318528,0.7321202087089251,0.25197631533948484,0.5504543577809153,0.4654746681256314,0.2024845673131659,0.3333333333333333,0.0,0.8660254037844386,0.0,0.33166247903553997,0.49749371855331
amazing pork tenderloin in the slow cooker,0.23858557568108957,0.22360679774997896,0.4654746681256314,0.6184658438426491,0.35856858280031806,0.1390443574307614,0.1414213562373095,0.7,0.1781741612749496,0.02,0.18257418583505536,0.17029386365926402,0.3333333333333333,0.816496580927726,0.7416198487095663,0.7071067811865476,0.2958039891549808,0.07071067811865475
amazing ribs,0.6748219138295788,0.7416198487095663,0.6244997998398398,0.6563789555838405,0.3734013543475324,0.3351616525399846,0.1414213562373095,0.7,0.8357108940373449,0.21908902300206645,0.12909944487358055,0.2345207879911715,0.3333333333333333,0.0,0.6708203932499369,0.0,0.2783882181415011,0.11180339887498948
ambers sesame chicken,0.5477225575051661,0.3872983346207417,0.5228129047119374,0.3679900360969936,0.38060102844992794,0.3038640046687553,0.322490309931942,0.8694826047713663,0.4714045207910317,0.23916521486202796,0.4654746681256314,0.38340579025361626,0.4714045207910317,0.0,1.118033988749895,0.7071067811865476,0.4847679857416329,0.3872983346207417
