recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels
chicken divan lasagna,0.2507692307692308,0.35,0.20666666666666667,0.3541666666666667,0.076,0.095,0.07200000000000001,0.51,0.09523809523809523,0.1984,0.26666666666666666,0.27,0.16666666666666666,0.0,0.5,0.0,0.105,0.1825,362,-3.2045566586666667,4.0256743814121485,0.7708688789636172,3
chicken dorito casserole,0.4215384615384615,0.5,0.2933333333333333,0.48875,0.11942857142857145,0.152,0.14800000000000002,0.696,0.12698412698412698,0.1478,0.05,0.282,0.1111111111111111,0.0,0.65,0.0,0.175,0.0875,564,-5.283044030666668,4.146933464558304,0.8332611541803393,3
chicken eggplant stir fry,0.09692307692307693,0.05,0.19666666666666666,0.25,0.19485714285714287,0.028999999999999998,0.16399999999999998,0.516,0.09523809523809523,0.5702,0.2,0.053,0.1111111111111111,0.0,0.7,0.0,0.155,0.22,190,1.265658357333333,4.164589803375032,0.5969441612601009,3
chicken fried venison steaks,0.5692307692307692,0.35,0.7433333333333333,0.20791666666666667,0.15771428571428572,0.171,0.11599999999999999,0.938,0.12698412698412698,0.026,0.0,0.13,0.5,0.6666666666666666,0.7,0.0,0.15,0.26,736,-2.1024588799999995,3.829187294234913,0.888859245190556,2
chicken fry,0.10923076923076924,0.05,0.17666666666666667,0.0425,0.09971428571428573,0.017333333333333333,0.068,0.43799999999999994,0.06349206349206349,0.0862,0.7833333333333333,0.032,0.05555555555555555,0.0,0.75,0.5,0.0875,0.0325,177,2.031444777333333,3.896700969215032,0.976697681047043,0
chicken honey mustard pie,0.24461538461538465,0.2,0.11,0.3745833333333333,0.08028571428571428,0.10933333333333332,0.092,0.34600000000000003,0.2857142857142857,0.5132,0.03333333333333333,0.022,0.1111111111111111,0.0,0.6,0.0,0.07,0.1075,345,-3.1970088160000008,4.470739946952015,0.8047993227534623,3
chicken linguine a la me,0.6261538461538462,1.25,0.5266666666666666,0.46875,0.2288571428571429,0.201,0.192,0.922,0.25396825396825395,0.2386,1.0833333333333333,0.146,0.2222222222222222,0.0,0.95,0.5,0.1875,0.475,779,-11.58436973466667,4.172820866326751,0.9999719894329024,2
chicken n stuff,0.2369230769230769,0.35,0.3133333333333333,0.4629166666666666,0.12657142857142858,0.07,0.04,0.768,0.06349206349206349,0.053,0.016666666666666666,0.247,0.16666666666666666,0.0,1.1,0.5,0.115,0.03,397,-2.160934306666668,3.993798203015567,0.7500860727522715,3
chicken newburg,0.3646153846153846,0.2,0.3533333333333333,0.40958333333333335,0.17885714285714285,0.12166666666666667,0.22399999999999998,0.516,0.19047619047619047,0.2292,0.7833333333333333,0.126,0.16666666666666666,0.0,0.8,0.5,0.1275,0.305,465,-2.9126492293333337,4.112701665379259,0.8454772129497488,3
chicken pesto with fettuccine and spinach,0.5969230769230769,0.5,0.37333333333333335,0.4241666666666667,0.2391428571428572,0.18,0.24,1.1,0.09523809523809523,1.0412,0.35,0.568,0.3333333333333333,0.0,1.3,0.5,0.325,0.56,786,-3.1874654559999973,3.8576001354533256,0.9889297304970217,2
